idv,iv,dv,exp
204,2,1.129993289,Biderman & Mudrik_2018_3
204,1,0.991486955,Biderman & Mudrik_2018_3
204,1,1.108533915,Biderman & Mudrik_2018_3
204,1,1.377831243,Biderman & Mudrik_2018_3
204,2,1.135471174,Biderman & Mudrik_2018_3
204,2,0.875302133,Biderman & Mudrik_2018_3
204,1,0.756229548,Biderman & Mudrik_2018_3
204,2,1.132211071,Biderman & Mudrik_2018_3
204,1,1.105753348,Biderman & Mudrik_2018_3
204,2,2.01732801,Biderman & Mudrik_2018_3
204,1,0.815927777,Biderman & Mudrik_2018_3
204,1,1.149530528,Biderman & Mudrik_2018_3
204,2,0.990733439,Biderman & Mudrik_2018_3
204,1,1.31209377,Biderman & Mudrik_2018_3
204,2,1.082130645,Biderman & Mudrik_2018_3
204,2,1.265085567,Biderman & Mudrik_2018_3
204,1,0.87420764,Biderman & Mudrik_2018_3
